"","X","Longitude","Latitude","state","MinKm","soil_i_or_is"
"1644",9657,-115.493679046631,39.3951034545898,"Nevada",124.123700580402,"313"
"1645",9658,-116.074066162109,39.3951034545898,"Nevada",109.023831191201,"313"
"1646",9659,-116.654453277588,39.3951034545898,"Nevada",115.906008004157,"313"
"1647",9660,-117.234840393066,39.3951034545898,"Nevada",141.600321883028,"313"
"1648",9661,-117.815227508545,39.3951034545898,"Nevada",121.499943599964,"310"
"1649",9662,-118.395614624023,39.3951034545898,"Nevada",71.6589510730511,"310"
"1650",9663,-118.976001739502,39.3951034545898,"Nevada",22.6235906802516,"310"
"1651",9664,-119.55638885498,39.3951034545898,"Nevada",29.8812960875568,"310"
"1652",9665,-120.136775970459,39.3951034545898,"California",79.2349957044647,"310"
"1653",9666,-120.717163085938,39.3951034545898,"California",124.65961785198,"147"
"1654",9667,-121.297550201416,39.3951034545898,"California",89.3587697161224,"144-145-146"
"1655",9668,-121.877937316895,39.3951034545898,"California",44.0956511261997,"144-145-146"
"1656",9669,-122.458324432373,39.3951034545898,"California",29.7692391568976,"144-145-146"
"1657",9670,-123.038711547852,39.3951034545898,"California",69.3568824086753,"144-145-146"
"1658",9671,-123.61909866333,39.3951034545898,"California",117.118623851027,"144-145-146"
"1659",9785,-74.3476104736328,39.8454475402832,"New Jersey",86.6052327333307,"309"
"1660",9786,-74.9318361282349,39.8454475402832,"New Jersey",41.8617783983018,"309"
"1661",9787,-75.5160617828369,39.8454475402832,"Pennsylvania",31.9678605326653,"309"
"1662",9788,-76.100287437439,39.8454475402832,"Pennsylvania",72.8636000258767,"309"
"1663",9789,-76.684513092041,39.8454475402832,"Pennsylvania",87.2275424771177,"141"
"1664",9790,-77.2687387466431,39.8454475402832,"Pennsylvania",41.5873269571826,"141"
"1665",9791,-77.8529644012451,39.8454475402832,"Pennsylvania",29.437263470268,"141"
"1666",9792,-78.4371900558472,39.8454475402832,"Pennsylvania",70.8506950050333,"141"
"1667",9793,-79.0214157104492,39.8454475402832,"Pennsylvania",119.1181548079,"141"
"1668",9794,-79.6056413650513,39.8454475402832,"Pennsylvania",168.446146668937,"141"
"1669",9795,-80.1898670196533,39.8454475402832,"Pennsylvania",197.401448927355,"297-298-299"
"1670",9796,-80.7740926742554,39.8454475402832,"West Virginia",147.996923983234,"297-298-299"
"1671",9797,-81.3583183288574,39.8454475402832,"Ohio",99.1071558520336,"297-298-299"
"1672",9798,-81.9425439834595,39.8454475402832,"Ohio",52.2040866289771,"297-298-299"
"1673",9799,-82.5267696380615,39.8454475402832,"Ohio",24.7489152569717,"297-298-299"
"1674",9800,-83.1109952926636,39.8454475402832,"Ohio",59.0258026136135,"297-298-299"
"1675",9801,-83.6952209472656,39.8454475402832,"Ohio",26.3005957550289,"300-301"
"1676",9802,-84.2794466018677,39.8454475402832,"Ohio",31.8906941835081,"300-301"
"1677",9803,-84.8636722564697,39.8454475402832,"Indiana",47.1918979879686,"233"
"1678",9804,-85.4478979110718,39.8454475402832,"Indiana",9.37814598102835,"233"
"1679",9805,-86.0321235656738,39.8454475402832,"Indiana",40.9123866492205,"232"
"1680",9806,-86.6163492202759,39.8454475402832,"Indiana",31.0573770826976,"231"
"1681",9807,-87.2005748748779,39.8454475402832,"Indiana",33.8659119630642,"231"
"1682",9808,-87.78480052948,39.8454475402832,"Illinois",79.4729845007734,"231"
"1683",9809,-88.369026184082,39.8454475402832,"Illinois",63.0031681966063,"327-328"
"1684",9810,-88.9532518386841,39.8454475402832,"Illinois",52.7329187951226,"327-328"
"1685",9811,-89.5374774932861,39.8454475402832,"Illinois",60.7895563941576,"325-326"
"1686",9812,-90.1217031478882,39.8454475402832,"Illinois",85.5421887603289,"329"
"1687",9813,-90.7059288024902,39.8454475402832,"Illinois",79.5285630818661,"329"
"1688",9814,-91.2901544570923,39.8454475402832,"Illinois",83.6331585440345,"330"
"1689",9815,-91.8743801116943,39.8454475402832,"Missouri",95.447663491176,"80-81-82"
"1690",9816,-92.4586057662964,39.8454475402832,"Missouri",53.7954091298252,"201-202"
